1	file	-1	-1	Holidays	1
1	file	-1	-1	Rites of Passage	2
1	file	-1	-1	Groups/Social Customs	3
1	file	-1	-1	New Year's	1.1
1	file	-1	-1	Gifts Left	1.1.1
1	item	1	1	In Shoe or Sock 	1.1.1.1	7
1	item	1	1	By Mother Goose	1.1.1.2	3
1	item	1	1	By Skiddy Winters	1.1.1.3	1
1	item	1	1	In Christmas Stocking	1.1.1.4	2
1	item	1	1	Baby New Year	1.1.1.5	1
1	item	1	1	Mrs. Santa Clause	1.1.1.6	1
1	item	1	1	New Years Eve Coals	1.1.1.7	1
1	file	-1	-1	Foodways	1.1.2
1	item	1	1	Enchiladas	1.1.2.1	2
1	item	1	1	Noodles	1.1.2.2	3
1	item	1	1	Lobster	1.1.2.3	1
1	item	1	1	Meals with Black-Eyed Peas	1.1.2.4	20
1	item	1	1	Crepes	1.1.2.5	2
1	item	1	1	Rice Pudding with Secret                             Almond	1.1.2.6	2
1	item	1	1	Pork and Sauerkraut	1.1.2.7	4
1	item	1	1	Cornbread	1.1.2.8	1
1	item	1	1	Special Breakfast	1.1.2.9	1
1	item	1	1	New Year's Bread	1.1.2.10	1
1	item	1	1	New Year's Maraschino Cherry Chip                             Dip	1.1.2.11	1
1	item	1	1	Oyster Stew	1.1.2.12	1
1	item	1	1	Duck	1.1.2.13	1
1	item	1	1	Hopping John	1.1.2.14	1
1	item	1	1	Herring Fish	1.1.2.15	1
1	file	1	1	Ethnic Foodways	1.1.2.13
1	file	1	1	Thai	1.1.2.13.1
1	item	1	1	Thai Fried Rice	1.1.2.13.1.1	1
1	item	1	1	Nam Prik	1.1.2.13.1.2	1
1	item	1	1	Golden Threads	1.1.2.13.1.3	1
1	item	1	1	Chicken and Coconut Soup	1.1.2.13.1.4	1
1	file	1	1	Japanese	1.1.2.13.2
1	item	1	1	Black Soybean	1.1.2.13.2.1	1
1	item	1	1	Mochi Soup	1.1.2.13.2.2	3
1	file	1	1	Danish	1.1.2.13.3
1	item	1	1	Pastry	1.1.2.13.3.1	1
1	item	1	1	Marzipan Pig	1.1.2.13.3.2	1
1	item	1	1	Danish Kringle	1.1.2.13.3.3	1
1	file	1	1	Holland	1.1.2.13.4
1	item	1	1	Oliebollen	1.1.2.13.4.1	3
1	file	1	1	Chinese	1.1.2.13.5
1	item	-1	-1	Duk Gook	1.1.2.13.5.1	1
1	file	-1	-1	Greek	1.1.2.13.6
1	item	1	1	Leukomathes (Greek                                   Potatoes)	1.1.2.13.6.1	1
1	item	1	1	Lemono	1.1.2.13.6.2	1
1	item	1	1	Sauerkraut	1.1.2.14.1	1
1	item	1	1	Sausage Dip	1.1.2.15.1	1
1	item	1	1	Split Pea Soup	1.1.2.16.1	2
1	item	1	2	First Foot 	1.1.3	3
1	item	1	2	Fireworks or Noisemakers	1.1.4	4
1	item	1	2	Parties or Gatherings	1.1.5	14
1	file	1	2	Ethnic Celebrations	1.1.6
1	item	1	2	Thai	1.1.6.1	3
1	item	1	2	Iranian	1.1.6.2	2
1	item	1	2	Vietnamese	1.1.6.3	2
1	item	1	2	Japanese	1.1.6.4	6
1	item	1	2	Italian	1.1.6.5	1
1	item	1	2	Scotish	1.1.6.6	1
1	file	1	2	New Year Superstitions	1.1.7
1	item	1	2	Resolutions	1.1.7.1	1
1	item	1	2	New Pillow Cases for the Year	1.1.7.2	1
1	item	1	2	Kisses	1.1.7.3	1
1	item	1	2	Getting Rid of Christmas Tree	1.1.7.4	1
1	item	1	2	Pots and Pans	1.1.7.5	1
1	file	1	2	Miscellaneous	1.1.0
1	item	1	2	Money for New Years	1.1.0.1	1
1	item	1	2	Fire in the Snow	1.1.0.2	1
1	item	1	2	Burn the Christmas Tree	1.1.0.3	1
1	item	1	2	Parent's Past Christmas Stories	1.1.0.4	1
1	item	1	2	Eating "Something food related" for goodluck	1.1.0.5	2
1	item	1	2	Georgia Peach Drop	1.1.0.6	1
1	item	1	2	"Break the House"	1.1.0.7	1
1	item	1	2	The New Year's Boy	1.1.0.8	1
1	file	1	3	April Fool's Day	1.2
1	item	1	3	Wear Clothes Backwards 	1.2.1	1
1	item	1	3	Dropping a Coin	1.2.2	1
1	item	1	3	Origin	1.2.3	1
1	item	1	3	Rigged Meals	1.2.4	1
1	file	1	3	Easter	1.3
1	file	1	3	Foodways	1.3.1
1	item	1	3	Lamb	1.3.1.1	3
1	item	1	3	Rolls/Bread	1.3.1.2	3
1	item	1	3	Boiled Eggs	1.3.1.3	2
1	item	1	3	Ham	1.3.1.4	1
1	item	1	3	Lima Beans	1.3.1.5	1
1	item	1	3	Stollen and Polska-Keilbasa	1.3.1.6	1
1	item	1	3	Chicken and Potato Salad	1.3.1.7	1
1	item	1	3	Dinner Menus	1.3.1.8	1
1	item	1	3	Filled Noodles	1.3.1.9	1
1	item	1	3	Cascarones	1.3.1.10	1
1	item	1	3	Easter Nest Coffee Cake	1.3.1.11	1
1	item	1	3	Lasseras Cookies	1.3.1.12	1
1	item	1	3	Magic Cupcakes	1.3.1.13	1
1	item	1	3	Easter Nests	1.3.1.14	1
1	item	1	3	Chocolate Eggs	1.3.1.15	1
1	item	1	3	Raviloli Dough	1.3.1.16	1
1	item	1	3	Deviled Eggs	1.3.1.17	1
1	item	1	3	Little Piggle Souffle	1.3.1.18	1
1	item	1	4	Basket 	1.3.2	8
1	item	1	4	Egg Hunt	1.3.3	29
1	item	1	4	Gift Hunting	1.3.4	6
1	item	1	4	Egg Rolling	1.3.5	14
1	item	1	4	Easter Dresses	1.3.6	2
1	item	1	4	Concerning Services	1.3.7	6
1	item	1	4	Coloring Eggs	1.3.8	7
1	item	1	4	Family Activities	1.3.9	7
1	item	1	4	Easter Bunny Trail	1.3.10	1
1	item	1	4	Pinata	1.3.11	1
1	file	1	4	Miscellaneous	1.3.0
1	item	1	4	Easter Egg Tree	1.3.0.1	1
1	item	1	4	Easter Traditions in Sweden	1.3.0.2	1
1	item	1	4	Pysanky Eggs	1.3.0.3	1
1	item	1	4	Bunny Tracks	1.3.0.4	2
1	item	1	4	Easter Dance	1.3.0.5	1
1	item	1	4	Easter in the Canyon	1.3.0.6	1
1	item	1	4	Lava Hot SPrings Easter	1.3.0.7	1
1	item	1	4	Little Mountain Easter Campout	1.3.0.8	1
1	item	1	4	Easter on the Farm	1.3.0.9	1
1	item	1	4	Easter Hill Climb	1.3.0.10	1
1	item	1	4	Easter in the Sand Dunes	1.3.0.11	1
1	item	1	4	Easter Marshmallows	1.3.0.12	1
1	item	1	4	Greek Tradition of Cracking Eggs/Luck	1.3.0.13	1
1	item	1	4	Czech Easter Tradition	1.3.0.14	1
1	item	1	4	Bargain Easter (Garage Sale Gifts)	1.3.0.15	1
1	file	1	5	May Day	1.4
1	item	1	5	May Baskets 	1.4.1	6
1	item	1	5	May Fest/Dance	1.4.2	9
1	item	1	5	May Day Crowning	1.4.3	3
1	file	1	5	Mother's/ Father's Day	1.5
1	item	1	5	Breakfast in Bed	1.5.1	3
1	item	1	5	Dining Out	1.5.2	1
1	item	1	5	Corsages	1.5.3	1
1	item	1	5	Visit Gravesite	1.5.4	1
1	item	1	5	Baseball	1.5.5	1
1	file	1	5	Memorial Day	1.6
1	item	1	5	Grave Beautification/Visits	1.6.1	17
1	item	1	5	Family Vacations	1.6.2	7
1	item	1	5	Hog Roast	1.6.3	1
1	item	1	5	Barbecue	1.6.4	1
1	file	1	5	Miscellaneous	1.6.0
1	item	1	5	Labor Day T-Shirts	1.6.0.1	1
1	file	1	6	July 4th	1.7
1	file	1	6	Foodways	1.7.1
1	item	1	6	Homemade Ice Cream 	1.7.1.1	1
1	item	1	6	Breakfast	1.7.1.2	1
1	item	1	6	Flag Cake	1.7.1.3	1
1	item	1	6	Potato Salad	1.7.1.4	1
1	item	1	6	Birthday Celebrations	1.7.2	2
1	item	1	6	Family Cookouts/Picnics	1.7.3	10
1	item	1	6	Neighborhood Parties	1.7.4	4
1	item	1	6	Community Fireworks/Parades	1.7.5	12
1	item	1	6	Softball Tournament	1.7.6	1
1	file	1	6	Miscellaneous	1.7.0
1	item	1	6	July 4th Snowball Fight	1.7.0.1	1
1	item	1	6	Camping	1.7.0.2	1
1	item	1	6	Family Reunion	1.7.0.3	1
1	item	1	6	Peas and New Potatos	1.7.0.4	1
1	item	1	6	Grandma's House	1.7.0.5	1
1	file	1	6	Midsummer's Day	1.8
1	item	1	6	Maypole for Midsummer Eve in Sweden	1.8.1	1
1	item	1	6	Dinner for "Midsummers"	1.8.2	1
